Variable_1,Variable_2,Correlation
Chr,Liver_GTExTPM,0.0043061692436784085
Chr,Lung_GTExTPM,-0.005956147648805554
Chr,Minor Salivary Gland_GTExTPM,0.005819272173956175
Chr,Muscle - Skeletal_GTExTPM,0.0033330117312300135
Chr,Nerve - Tibial_GTExTPM,0.0012497704739109195
Chr,Ovary_GTExTPM,0.017957639452385373
Chr,Pancreas_GTExTPM,0.0013464545144566019
Chr,Pituitary_GTExTPM,0.021212299612879813
Chr,Prostate_GTExTPM,0.015588259927192939
Chr,Skin - Not Sun Exposed (Suprapubic)_GTExTPM,0.009062163713504994
Chr,Skin - Sun Exposed (Lower leg)_GTExTPM,0.009203406511722427
Chr,Small Intestine - Terminal Ileum_GTExTPM,0.010296355182215715
Chr,Spleen_GTExTPM,0.02492856373272668
Chr,Stomach_GTExTPM,0.00623825335797613
Chr,Testis_GTExTPM,0.03937205011427498
Chr,Thyroid_GTExTPM,0.011623390337353474
Chr,Uterus_GTExTPM,0.01407098886429805
Chr,Vagina_GTExTPM,0.008406244394102131
Chr,Whole Blood_GTExTPM,0.014323017598194411
Chr,opentargets_association_score,-0.031130921323665864
Chr,DGIdb_interaction_group_score,0.08012248245623835
Chr,HIPred,0.017755686710446725
Chr,SDI,-2.4067294988357463e-05
Chr,pLI,0.055383111419507906
Chr,O_GlcNAc_Score,-0.0679463020046524
Chr,IPA_BP,-0.008139158566096368
Gene_length,Chr,-0.0840945171039649
Gene_length,Gene_length,1.0
Gene_length,Adipose - Subcutaneous_GTExTPM,0.30447975677114814
Gene_length,Adipose - Visceral (Omentum)_GTExTPM,0.29233538506375867
Gene_length,Adrenal Gland_GTExTPM,0.27263432972564905
Gene_length,Artery - Aorta_GTExTPM,0.3305350056524088
Gene_length,Artery - Coronary_GTExTPM,0.32157524395299136
Gene_length,Artery - Tibial_GTExTPM,0.34178806935077166
Gene_length,Bladder_GTExTPM,0.3033415697785415
Gene_length,Brain - Amygdala_GTExTPM,0.3197579512847648
Gene_length,Brain - Anterior cingulate cortex (BA24)_GTExTPM,0.32549855927773913
Gene_length,Brain - Caudate (basal ganglia)_GTExTPM,0.32550121844680896
Gene_length,Brain - Cerebellar Hemisphere_GTExTPM,0.33005172722694676
Gene_length,Brain - Cerebellum_GTExTPM,0.3232507603544972
Gene_length,Brain - Cortex_GTExTPM,0.32266343460547237
Gene_length,Brain - Frontal Cortex (BA9)_GTExTPM,0.3377246490251777
Gene_length,Brain - Hippocampus_GTExTPM,0.3214537224004035
Gene_length,Brain - Hypothalamus_GTExTPM,0.3230251164967223
Gene_length,Brain - Nucleus accumbens (basal ganglia)_GTExTPM,0.32171514869344053
Gene_length,Brain - Putamen (basal ganglia)_GTExTPM,0.31664527016939653
Gene_length,Brain - Spinal cord (cervical c-1)_GTExTPM,0.32062667943100415
Gene_length,Brain - Substantia nigra_GTExTPM,0.31930328590498147
Gene_length,Breast - Mammary Tissue_GTExTPM,0.2956029095992124
Gene_length,Cells - Cultured fibroblasts_GTExTPM,0.2830709335990491
Gene_length,Cells - EBV-transformed lymphocytes_GTExTPM,0.24068018702970395
Gene_length,Cervix - Ectocervix_GTExTPM,0.30156134677804725
Gene_length,Cervix - Endocervix_GTExTPM,0.3010668966626334
Gene_length,Colon - Sigmoid_GTExTPM,0.31829143857902514
Gene_length,Colon - Transverse_GTExTPM,0.2911871347827956
Gene_length,Esophagus - Gastroesophageal Junction_GTExTPM,0.31656130163012863
Gene_length,Esophagus - Mucosa_GTExTPM,0.261335193316527
Gene_length,Esophagus - Muscularis_GTExTPM,0.3157136457988105
Gene_length,Fallopian Tube_GTExTPM,0.29202716078841773
Gene_length,Heart - Atrial Appendage_GTExTPM,0.3051364660168104
Gene_length,Heart - Left Ventricle_GTExTPM,0.30382648788899513
Gene_length,Kidney - Cortex_GTExTPM,0.27599541056518706
Gene_length,Kidney - Medulla_GTExTPM,0.26872989757771
Gene_length,Liver_GTExTPM,0.2640525676830488
Gene_length,Lung_GTExTPM,0.29831233112964495
Gene_length,Minor Salivary Gland_GTExTPM,0.28962297005642407
Gene_length,Muscle - Skeletal_GTExTPM,0.3025133453196708
Gene_length,Nerve - Tibial_GTExTPM,0.3150226534187262
Gene_length,Ovary_GTExTPM,0.29637631113481905
Gene_length,Pancreas_GTExTPM,0.27756641104325536
Gene_length,Pituitary_GTExTPM,0.27200525408337667
Gene_length,Prostate_GTExTPM,0.27449589887162695
Gene_length,Skin - Not Sun Exposed (Suprapubic)_GTExTPM,0.27588357804557845
Gene_length,Skin - Sun Exposed (Lower leg)_GTExTPM,0.2799373378066298
Gene_length,Small Intestine - Terminal Ileum_GTExTPM,0.2806125078562092
Gene_length,Spleen_GTExTPM,0.2524507446177167
Gene_length,Stomach_GTExTPM,0.28322700142847484
Gene_length,Testis_GTExTPM,0.2505138821518214
Gene_length,Thyroid_GTExTPM,0.29275605446108915
Gene_length,Uterus_GTExTPM,0.30314270192896
Gene_length,Vagina_GTExTPM,0.28566911177208126
Gene_length,Whole Blood_GTExTPM,0.2340048232666548
Gene_length,opentargets_association_score,-0.024262453152568024
Gene_length,DGIdb_interaction_group_score,-0.15550799695575115
Gene_length,HIPred,0.3172200231363497
Gene_length,SDI,0.15807017162778986
Gene_length,pLI,0.21245773929284242
Gene_length,O_GlcNAc_Score,-0.016073646204353587
Gene_length,IPA_BP,0.12765232024402146
Adipose - Subcutaneous_GTExTPM,Chr,-0.002809663510197086
Adipose - Subcutaneous_GTExTPM,Gene_length,0.30447975677114814
Adipose - Subcutaneous_GTExTPM,Adipose - Subcutaneous_GTExTPM,1.0
Adipose - Subcutaneous_GTExTPM,Adipose - Visceral (Omentum)_GTExTPM,0.987632440000786
Adipose - Subcutaneous_GTExTPM,Adrenal Gland_GTExTPM,0.9032258687412021
Adipose - Subcutaneous_GTExTPM,Artery - Aorta_GTExTPM,0.9460058993618533
Adipose - Subcutaneous_GTExTPM,Artery - Coronary_GTExTPM,0.9648082495357242
Adipose - Subcutaneous_GTExTPM,Artery - Tibial_GTExTPM,0.9527058521340344
Adipose - Subcutaneous_GTExTPM,Bladder_GTExTPM,0.9593287663160189
Adipose - Subcutaneous_GTExTPM,Brain - Amygdala_GTExTPM,0.8381829071436299
Adipose - Subcutaneous_GTExTPM,Brain - Anterior cingulate cortex (BA24)_GTExTPM,0.8152351974760912
Adipose - Subcutaneous_GTExTPM,Brain - Caudate (basal ganglia)_GTExTPM,0.833600085273334
Adipose - Subcutaneous_GTExTPM,Brain - Cerebellar Hemisphere_GTExTPM,0.7663071259491889
Adipose - Subcutaneous_GTExTPM,Brain - Cerebellum_GTExTPM,0.7770433700423097
Adipose - Subcutaneous_GTExTPM,Brain - Cortex_GTExTPM,0.812157596492642
Adipose - Subcutaneous_GTExTPM,Brain - Frontal Cortex (BA9)_GTExTPM,0.7972874523431269
Adipose - Subcutaneous_GTExTPM,Brain - Hippocampus_GTExTPM,0.8416868839362291
Adipose - Subcutaneous_GTExTPM,Brain - Hypothalamus_GTExTPM,0.8440450033143582
Adipose - Subcutaneous_GTExTPM,Brain - Nucleus accumbens (basal ganglia)_GTExTPM,0.817580837263409
Adipose - Subcutaneous_GTExTPM,Brain - Putamen (basal ganglia)_GTExTPM,0.8390231927756121
Adipose - Subcutaneous_GTExTPM,Brain - Spinal cord (cervical c-1)_GTExTPM,0.8692889980427215
Adipose - Subcutaneous_GTExTPM,Brain - Substantia nigra_GTExTPM,0.8671538356767989
Adipose - Subcutaneous_GTExTPM,Breast - Mammary Tissue_GTExTPM,0.9888517126621059
Adipose - Subcutaneous_GTExTPM,Cells - Cultured fibroblasts_GTExTPM,0.8994186717270832
Adipose - Subcutaneous_GTExTPM,Cells - EBV-transformed lymphocytes_GTExTPM,0.7811763085528272
Adipose - Subcutaneous_GTExTPM,Cervix - Ectocervix_GTExTPM,0.9532018080151494
Adipose - Subcutaneous_GTExTPM,Cervix - Endocervix_GTExTPM,0.9540029060244161
Adipose - Subcutaneous_GTExTPM,Colon - Sigmoid_GTExTPM,0.9452758939994623
Adipose - Subcutaneous_GTExTPM,Colon - Transverse_GTExTPM,0.9397782245516187
Adipose - Subcutaneous_GTExTPM,Esophagus - Gastroesophageal Junction_GTExTPM,0.9576503296414809
Adipose - Subcutaneous_GTExTPM,Esophagus - Mucosa_GTExTPM,0.901941147241236
Adipose - Subcutaneous_GTExTPM,Esophagus - Muscularis_GTExTPM,0.9539558080404921
Adipose - Subcutaneous_GTExTPM,Fallopian Tube_GTExTPM,0.9554200606731381
Adipose - Subcutaneous_GTExTPM,Heart - Atrial Appendage_GTExTPM,0.9111059504476975
Adipose - Subcutaneous_GTExTPM,Heart - Left Ventricle_GTExTPM,0.9010329399088222
Adipose - Subcutaneous_GTExTPM,Kidney - Cortex_GTExTPM,0.9008701049341451
Adipose - Subcutaneous_GTExTPM,Kidney - Medulla_GTExTPM,0.9084139053679188
Adipose - Subcutaneous_GTExTPM,Liver_GTExTPM,0.8563874490661245
Adipose - Subcutaneous_GTExTPM,Lung_GTExTPM,0.954891352132224
Adipose - Subcutaneous_GTExTPM,Minor Salivary Gland_GTExTPM,0.9244561156891193
Adipose - Subcutaneous_GTExTPM,Muscle - Skeletal_GTExTPM,0.8824928278784643
Adipose - Subcutaneous_GTExTPM,Nerve - Tibial_GTExTPM,0.9625142102074234
Adipose - Subcutaneous_GTExTPM,Ovary_GTExTPM,0.9327424332533893
Adipose - Subcutaneous_GTExTPM,Pancreas_GTExTPM,0.8851438900386304
Adipose - Subcutaneous_GTExTPM,Pituitary_GTExTPM,0.8689097394781595
Adipose - Subcutaneous_GTExTPM,Prostate_GTExTPM,0.9311051924028828
Adipose - Subcutaneous_GTExTPM,Skin - Not Sun Exposed (Suprapubic)_GTExTPM,0.9237854473905577
Adipose - Subcutaneous_GTExTPM,Skin - Sun Exposed (Lower leg)_GTExTPM,0.9325036758649833
Adipose - Subcutaneous_GTExTPM,Small Intestine - Terminal Ileum_GTExTPM,0.9313171653751293
Adipose - Subcutaneous_GTExTPM,Spleen_GTExTPM,0.9036904635682548
Adipose - Subcutaneous_GTExTPM,Stomach_GTExTPM,0.9296754644993516
Adipose - Subcutaneous_GTExTPM,Testis_GTExTPM,0.7808396451258173
Adipose - Subcutaneous_GTExTPM,Thyroid_GTExTPM,0.9362363156739673
Adipose - Subcutaneous_GTExTPM,Uterus_GTExTPM,0.9573380039267672
Adipose - Subcutaneous_GTExTPM,Vagina_GTExTPM,0.9434927723462287
Adipose - Subcutaneous_GTExTPM,Whole Blood_GTExTPM,0.8215219479925839
Adipose - Subcutaneous_GTExTPM,opentargets_association_score,-0.09460905328095072
Adipose - Subcutaneous_GTExTPM,DGIdb_interaction_group_score,0.010035639718571123
Adipose - Subcutaneous_GTExTPM,HIPred,0.3791336192210827
Adipose - Subcutaneous_GTExTPM,SDI,0.28533083515925234
Adipose - Subcutaneous_GTExTPM,pLI,0.27380946976258874
Adipose - Subcutaneous_GTExTPM,O_GlcNAc_Score,0.09124312801599847
Adipose - Subcutaneous_GTExTPM,IPA_BP,0.08937769718167075
Adipose - Visceral (Omentum)_GTExTPM,Chr,-1.1486917507178675e-05
Adipose - Visceral (Omentum)_GTExTPM,Gene_length,0.29233538506375867
Adipose - Visceral (Omentum)_GTExTPM,Adipose - Subcutaneous_GTExTPM,0.987632440000786
Adipose - Visceral (Omentum)_GTExTPM,Adipose - Visceral (Omentum)_GTExTPM,1.0
Adipose - Visceral (Omentum)_GTExTPM,Adrenal Gland_GTExTPM,0.9078189720297092
Adipose - Visceral (Omentum)_GTExTPM,Artery - Aorta_GTExTPM,0.9429662617048691
Adipose - Visceral (Omentum)_GTExTPM,Artery - Coronary_GTExTPM,0.9623543669244211
Adipose - Visceral (Omentum)_GTExTPM,Artery - Tibial_GTExTPM,0.9429880604558696
Adipose - Visceral (Omentum)_GTExTPM,Bladder_GTExTPM,0.9577066343495998
Adipose - Visceral (Omentum)_GTExTPM,Brain - Amygdala_GTExTPM,0.8403075834770227
Adipose - Visceral (Omentum)_GTExTPM,Brain - Anterior cingulate cortex (BA24)_GTExTPM,0.8170557361936658
Adipose - Visceral (Omentum)_GTExTPM,Brain - Caudate (basal ganglia)_GTExTPM,0.8358258384880131
Adipose - Visceral (Omentum)_GTExTPM,Brain - Cerebellar Hemisphere_GTExTPM,0.7655552040248323
Adipose - Visceral (Omentum)_GTExTPM,Brain - Cerebellum_GTExTPM,0.7760765743474729
Adipose - Visceral (Omentum)_GTExTPM,Brain - Cortex_GTExTPM,0.8137008687942098
Adipose - Visceral (Omentum)_GTExTPM,Brain - Frontal Cortex (BA9)_GTExTPM,0.7990289107815756
Adipose - Visceral (Omentum)_GTExTPM,Brain - Hippocampus_GTExTPM,0.8440998698324728
Adipose - Visceral (Omentum)_GTExTPM,Brain - Hypothalamus_GTExTPM,0.846901822103317
Adipose - Visceral (Omentum)_GTExTPM,Brain - Nucleus accumbens (basal ganglia)_GTExTPM,0.8200899176423901
Adipose - Visceral (Omentum)_GTExTPM,Brain - Putamen (basal ganglia)_GTExTPM,0.8414486991233519
Adipose - Visceral (Omentum)_GTExTPM,Brain - Spinal cord (cervical c-1)_GTExTPM,0.8717302806362658
Adipose - Visceral (Omentum)_GTExTPM,Brain - Substantia nigra_GTExTPM,0.8685915767210657
Adipose - Visceral (Omentum)_GTExTPM,Breast - Mammary Tissue_GTExTPM,0.9863972615570991
Adipose - Visceral (Omentum)_GTExTPM,Cells - Cultured fibroblasts_GTExTPM,0.8977621840466453
Adipose - Visceral (Omentum)_GTExTPM,Cells - EBV-transformed lymphocytes_GTExTPM,0.7808715763715142
Adipose - Visceral (Omentum)_GTExTPM,Cervix - Ectocervix_GTExTPM,0.9498470218868583
Adipose - Visceral (Omentum)_GTExTPM,Cervix - Endocervix_GTExTPM,0.9534922511553015
Adipose - Visceral (Omentum)_GTExTPM,Colon - Sigmoid_GTExTPM,0.9432859963885574
Adipose - Visceral (Omentum)_GTExTPM,Colon - Transverse_GTExTPM,0.9410598758304404
Adipose - Visceral (Omentum)_GTExTPM,Esophagus - Gastroesophageal Junction_GTExTPM,0.9554637740247514
Adipose - Visceral (Omentum)_GTExTPM,Esophagus - Mucosa_GTExTPM,0.9034166246497483
Adipose - Visceral (Omentum)_GTExTPM,Esophagus - Muscularis_GTExTPM,0.9515371500681562
Adipose - Visceral (Omentum)_GTExTPM,Fallopian Tube_GTExTPM,0.9589691772213115
Adipose - Visceral (Omentum)_GTExTPM,Heart - Atrial Appendage_GTExTPM,0.9175017219906207
Adipose - Visceral (Omentum)_GTExTPM,Heart - Left Ventricle_GTExTPM,0.9021065444059166
Adipose - Visceral (Omentum)_GTExTPM,Kidney - Cortex_GTExTPM,0.9060990929855822
Adipose - Visceral (Omentum)_GTExTPM,Kidney - Medulla_GTExTPM,0.9141342139341173
Adipose - Visceral (Omentum)_GTExTPM,Liver_GTExTPM,0.8608705556653662
Adipose - Visceral (Omentum)_GTExTPM,Lung_GTExTPM,0.9604474123336924
Adipose - Visceral (Omentum)_GTExTPM,Minor Salivary Gland_GTExTPM,0.9249691346500121
Adipose - Visceral (Omentum)_GTExTPM,Muscle - Skeletal_GTExTPM,0.8747469974831996
Adipose - Visceral (Omentum)_GTExTPM,Nerve - Tibial_GTExTPM,0.9563277904751224
Adipose - Visceral (Omentum)_GTExTPM,Ovary_GTExTPM,0.9340273859448694
Adipose - Visceral (Omentum)_GTExTPM,Pancreas_GTExTPM,0.8898943679318833
Adipose - Visceral (Omentum)_GTExTPM,Pituitary_GTExTPM,0.8756206526992805
Adipose - Visceral (Omentum)_GTExTPM,Prostate_GTExTPM,0.9340052897962395
Adipose - Visceral (Omentum)_GTExTPM,Skin - Not Sun Exposed (Suprapubic)_GTExTPM,0.9180839140203191
Adipose - Visceral (Omentum)_GTExTPM,Skin - Sun Exposed (Lower leg)_GTExTPM,0.9242008318207084
Adipose - Visceral (Omentum)_GTExTPM,Small Intestine - Terminal Ileum_GTExTPM,0.9346925508914136
Adipose - Visceral (Omentum)_GTExTPM,Spleen_GTExTPM,0.9062096408771119
Adipose - Visceral (Omentum)_GTExTPM,Stomach_GTExTPM,0.9318683439376069
Adipose - Visceral (Omentum)_GTExTPM,Testis_GTExTPM,0.7779558841756911
Adipose - Visceral (Omentum)_GTExTPM,Thyroid_GTExTPM,0.9368862263707123
Adipose - Visceral (Omentum)_GTExTPM,Uterus_GTExTPM,0.9548370992527135
Adipose - Visceral (Omentum)_GTExTPM,Vagina_GTExTPM,0.9424047303512756
Adipose - Visceral (Omentum)_GTExTPM,Whole Blood_GTExTPM,0.8196833244501639
Adipose - Visceral (Omentum)_GTExTPM,opentargets_association_score,-0.10853979023744374
Adipose - Visceral (Omentum)_GTExTPM,DGIdb_interaction_group_score,0.01558818926972001
Adipose - Visceral (Omentum)_GTExTPM,HIPred,0.3704482959159508
Adipose - Visceral (Omentum)_GTExTPM,SDI,0.28058273886239227
Adipose - Visceral (Omentum)_GTExTPM,pLI,0.2658274989122722
Adipose - Visceral (Omentum)_GTExTPM,O_GlcNAc_Score,0.0676063918006085
Adipose - Visceral (Omentum)_GTExTPM,IPA_BP,0.0893989060937024
Adrenal Gland_GTExTPM,Chr,0.018490061256800912
Adrenal Gland_GTExTPM,Gene_length,0.27263432972564905
Adrenal Gland_GTExTPM,Adipose - Subcutaneous_GTExTPM,0.9032258687412021
Adrenal Gland_GTExTPM,Adipose - Visceral (Omentum)_GTExTPM,0.9078189720297092
Adrenal Gland_GTExTPM,Adrenal Gland_GTExTPM,1.0
Adrenal Gland_GTExTPM,Artery - Aorta_GTExTPM,0.891977808532187
Adrenal Gland_GTExTPM,Artery - Coronary_GTExTPM,0.9027378609501979
Adrenal Gland_GTExTPM,Artery - Tibial_GTExTPM,0.8883107576017738
Adrenal Gland_GTExTPM,Bladder_GTExTPM,0.9208773304160204
Adrenal Gland_GTExTPM,Brain - Amygdala_GTExTPM,0.853232085029588
Adrenal Gland_GTExTPM,Brain - Anterior cingulate cortex (BA24)_GTExTPM,0.8351946143292294
Adrenal Gland_GTExTPM,Brain - Caudate (basal ganglia)_GTExTPM,0.8478225764582343
Adrenal Gland_GTExTPM,Brain - Cerebellar Hemisphere_GTExTPM,0.8081394388064114
Adrenal Gland_GTExTPM,Brain - Cerebellum_GTExTPM,0.816007411436998
Adrenal Gland_GTExTPM,Brain - Cortex_GTExTPM,0.8329679199743474
Adrenal Gland_GTExTPM,Brain - Frontal Cortex (BA9)_GTExTPM,0.8203925268520719
Adrenal Gland_GTExTPM,Brain - Hippocampus_GTExTPM,0.8543716692900645
Adrenal Gland_GTExTPM,Brain - Hypothalamus_GTExTPM,0.864992238347437
Adrenal Gland_GTExTPM,Brain - Nucleus accumbens (basal ganglia)_GTExTPM,0.8392089059302941
Adrenal Gland_GTExTPM,Brain - Putamen (basal ganglia)_GTExTPM,0.8494631544492326
Adrenal Gland_GTExTPM,Brain - Spinal cord (cervical c-1)_GTExTPM,0.8771282053300056
Adrenal Gland_GTExTPM,Brain - Substantia nigra_GTExTPM,0.8751151661967113
Adrenal Gland_GTExTPM,Breast - Mammary Tissue_GTExTPM,0.9149332755738845
Adrenal Gland_GTExTPM,Cells - Cultured fibroblasts_GTExTPM,0.8831035254218732
Adrenal Gland_GTExTPM,Cells - EBV-transformed lymphocytes_GTExTPM,0.8113346005615926
Adrenal Gland_GTExTPM,Cervix - Ectocervix_GTExTPM,0.9059968596742598
Adrenal Gland_GTExTPM,Cervix - Endocervix_GTExTPM,0.9100318211035358
Adrenal Gland_GTExTPM,Colon - Sigmoid_GTExTPM,0.908714097162958
Adrenal Gland_GTExTPM,Colon - Transverse_GTExTPM,0.9203686681871683
Adrenal Gland_GTExTPM,Esophagus - Gastroesophageal Junction_GTExTPM,0.9098871007538515
Adrenal Gland_GTExTPM,Esophagus - Mucosa_GTExTPM,0.896364406210761
Adrenal Gland_GTExTPM,Esophagus - Muscularis_GTExTPM,0.910729167730432
Adrenal Gland_GTExTPM,Fallopian Tube_GTExTPM,0.912341312058012
Adrenal Gland_GTExTPM,Heart - Atrial Appendage_GTExTPM,0.8818361690649311
Adrenal Gland_GTExTPM,Heart - Left Ventricle_GTExTPM,0.8753448499009269
Adrenal Gland_GTExTPM,Kidney - Cortex_GTExTPM,0.9046624239772861
Adrenal Gland_GTExTPM,Kidney - Medulla_GTExTPM,0.9036008438473253
Adrenal Gland_GTExTPM,Liver_GTExTPM,0.8712419016230273
Adrenal Gland_GTExTPM,Lung_GTExTPM,0.9054734043815236
Adrenal Gland_GTExTPM,Minor Salivary Gland_GTExTPM,0.9088826279423634
Adrenal Gland_GTExTPM,Muscle - Skeletal_GTExTPM,0.8629263517437096
Adrenal Gland_GTExTPM,Nerve - Tibial_GTExTPM,0.9037414001131224
Adrenal Gland_GTExTPM,Ovary_GTExTPM,0.9173179769665828
Adrenal Gland_GTExTPM,Pancreas_GTExTPM,0.906890138378831
Adrenal Gland_GTExTPM,Pituitary_GTExTPM,0.8991234468926991
Adrenal Gland_GTExTPM,Prostate_GTExTPM,0.9163639757505627
Adrenal Gland_GTExTPM,Skin - Not Sun Exposed (Suprapubic)_GTExTPM,0.8981177452291229
Adrenal Gland_GTExTPM,Skin - Sun Exposed (Lower leg)_GTExTPM,0.897668771483011
Adrenal Gland_GTExTPM,Small Intestine - Terminal Ileum_GTExTPM,0.9126628108065654
Adrenal Gland_GTExTPM,Spleen_GTExTPM,0.9002646197200505
Adrenal Gland_GTExTPM,Stomach_GTExTPM,0.9251062835153261
Adrenal Gland_GTExTPM,Testis_GTExTPM,0.8148782307203629
Adrenal Gland_GTExTPM,Thyroid_GTExTPM,0.9114510963422351
Adrenal Gland_GTExTPM,Uterus_GTExTPM,0.9090973362803533
Adrenal Gland_GTExTPM,Vagina_GTExTPM,0.9081649490191742
Adrenal Gland_GTExTPM,Whole Blood_GTExTPM,0.8327729602745302
Adrenal Gland_GTExTPM,opentargets_association_score,-0.06998711700039455
Adrenal Gland_GTExTPM,DGIdb_interaction_group_score,0.054605387768203444
Adrenal Gland_GTExTPM,HIPred,0.3273958231084239
Adrenal Gland_GTExTPM,SDI,0.24626020230853893
Adrenal Gland_GTExTPM,pLI,0.24517591523059992
Adrenal Gland_GTExTPM,O_GlcNAc_Score,-0.017015805957879014
Adrenal Gland_GTExTPM,IPA_BP,0.04421229428592235
Artery - Aorta_GTExTPM,Chr,-0.013233619122017976
Artery - Aorta_GTExTPM,Gene_length,0.3305350056524088
Artery - Aorta_GTExTPM,Adipose - Subcutaneous_GTExTPM,0.9460058993618533
Artery - Aorta_GTExTPM,Adipose - Visceral (Omentum)_GTExTPM,0.9429662617048691
Artery - Aorta_GTExTPM,Adrenal Gland_GTExTPM,0.891977808532187
Artery - Aorta_GTExTPM,Artery - Aorta_GTExTPM,1.0
Artery - Aorta_GTExTPM,Artery - Coronary_GTExTPM,0.9885331609714403
Artery - Aorta_GTExTPM,Artery - Tibial_GTExTPM,0.9847217276235052
Artery - Aorta_GTExTPM,Bladder_GTExTPM,0.9521868630541667
Artery - Aorta_GTExTPM,Brain - Amygdala_GTExTPM,0.8355819367142105
Artery - Aorta_GTExTPM,Brain - Anterior cingulate cortex (BA24)_GTExTPM,0.8158214288228547
Artery - Aorta_GTExTPM,Brain - Caudate (basal ganglia)_GTExTPM,0.8282748707962014
Artery - Aorta_GTExTPM,Brain - Cerebellar Hemisphere_GTExTPM,0.7638462017182445
Artery - Aorta_GTExTPM,Brain - Cerebellum_GTExTPM,0.7746664226331764
Artery - Aorta_GTExTPM,Brain - Cortex_GTExTPM,0.8103589569139118
Artery - Aorta_GTExTPM,Brain - Frontal Cortex (BA9)_GTExTPM,0.7967298721819177
Artery - Aorta_GTExTPM,Brain - Hippocampus_GTExTPM,0.8371052024780681
Artery - Aorta_GTExTPM,Brain - Hypothalamus_GTExTPM,0.8417681101791362
Artery - Aorta_GTExTPM,Brain - Nucleus accumbens (basal ganglia)_GTExTPM,0.8160022238954049
Artery - Aorta_GTExTPM,Brain - Putamen (basal ganglia)_GTExTPM,0.8315746640027836
Artery - Aorta_GTExTPM,Brain - Spinal cord (cervical c-1)_GTExTPM,0.8554820732695388
Artery - Aorta_GTExTPM,Brain - Substantia nigra_GTExTPM,0.8591339358355133
Artery - Aorta_GTExTPM,Breast - Mammary Tissue_GTExTPM,0.9453838523453093
Artery - Aorta_GTExTPM,Cells - Cultured fibroblasts_GTExTPM,0.8873519163148276
Artery - Aorta_GTExTPM,Cells - EBV-transformed lymphocytes_GTExTPM,0.7473659061496505
Artery - Aorta_GTExTPM,Cervix - Ectocervix_GTExTPM,0.9481525747800967
Artery - Aorta_GTExTPM,Cervix - Endocervix_GTExTPM,0.9489176564405319
Artery - Aorta_GTExTPM,Colon - Sigmoid_GTExTPM,0.9528240689884495
Artery - Aorta_GTExTPM,Colon - Transverse_GTExTPM,0.9314662573502961
Artery - Aorta_GTExTPM,Esophagus - Gastroesophageal Junction_GTExTPM,0.9648646657520574
Artery - Aorta_GTExTPM,Esophagus - Mucosa_GTExTPM,0.8854161431282939
Artery - Aorta_GTExTPM,Esophagus - Muscularis_GTExTPM,0.9613659810846545
Artery - Aorta_GTExTPM,Fallopian Tube_GTExTPM,0.95095583612788
Artery - Aorta_GTExTPM,Heart - Atrial Appendage_GTExTPM,0.9157516688006339
