Gene,SDI
ADH1B,2.97278462
ADH1C,2.97278462
ADH4,1.94162869
ADH5,2.92017305
ADH6,1.99992492
ADH7,2.98297969
ADK,2.81650798
ADM,2.90800636
ADORA1,11.75996628
ADORA2A,11.82602092
ADORA2B,2.80622297
ADORA3,1.74820254
PARP1,9.61192462
PARP4,6.9271531
ADRA1D,2.80622297
ADRA1B,5.8625731
ADRA1A,7.80638728
ADRA2A,4.82604508
ADRA2B,2.80622297
ADRA2C,4.92784773
ADRB1,2.91936788
ADRB2,10.75900262
ADRB3,3.95291073
GRK2,4.84011718
GRK3,1.96798985
ADSL,0
ADSS2,3.85463625
AP2A1,11.7117387
AP2A2,9.12031427
AP2A2,9.12031427
AP2A2,9.12031427
AP1B1,8.30861525
AP2B1,8.70056264
AP1G1,13.18868208
AEBP1,5.8862599
TLE5,1.90038475
CRISP1,1.99951157
AFM,3.50998933
AFP,1.99992525
AGA,5.84872986
ACAN,3.92875548
AGER,7.87111623
AGER,7.87111623
AGER,7.87111623
AGER,7.87111623
AGER,7.87111623
AGER,7.87111623
AGER,7.87111623
AGL,8.70630601
AGRP,2.99864099
JAG1,5.85644216
AGT,4.7137448
AGTR1,3.81588039
AGTR2,3.94149733
APLNR,1.74820254
AGXT,4.40240162
NR0B1,7.53055842
AHCY,4.93302635
AHR,6.65880502
AHSG,9.68472893
AIF1,9.74495658
AIF1,9.74495658
AIF1,9.74495658
AIF1,9.74495658
AIF1,9.74495658
AIF1,9.74495658
AK1,1.99992492
AK2,2.99762511
AK4,1.47083869
AKT1,12.7412592
AKT2,8.7600131
ALAD,6.88911881
ALAS1,3.5727801
ALAS2,2.4194034
ALB,10.76592973
ALCAM,9.76802921
ABCD1,6.53187701
ALDH1A1,2.80599269
ALDH2,1.9987867
ALDH3A1,4.96567638
ALDH1B1,3.20770588
ALDH1A3,4.84422882
ALDH3B1,6.82957832
ALDH3B2,0
ALDH9A1,2.80599269
ALDH3A2,3.88944445
ABCD2,3.87745341
ALDOA,13.69556493
ALDOB,3.8407862
ALDOC,6.72232415
AKR1B1,9.90245924
ALK,6.87773207
ALOX12,4.90223006
ALOX5,9.40182742
ALOX5,9.40182742
ALOX5AP,5.73605192
ALOX12B,0
ALOX15,4.90754865
ALOX15B,7.86785877
ALPI,3.89616698
ALPL,6.87644051
ALPP,3.87748034
ALPG,2.98458357
ALX3,0
AMBN,1.99981318
AMBP,7.80179018
AMD1,0
AMELX,2.99677162
AMELY,0
AMFR,13.53377667
AMH,1.70705006
AMHR2,2.9272868
AMPD1,0
AMPD2,0
AMPD3,3.8249471
AMPH,5.92512458
BIN1,13.73992867
AMT,2.48566662
AMY1A,1.83440665
AMY1B,1.83440665
AMY1C,1.83440665
AMY2A,2.78917913
AMY2B,0
ANG,7.93181474
ANGPT1,6.93795014
ANGPT2,4.92982383
ANK1,17.75165612
ANK2,24.58345351
ANK3,25.6274568
ANPEP,8.91855152
SLC25A4,4.83480075
SLC25A5,8.85168783
SLC25A6,3.42199367
ANXA1,28.63712108
ANXA2,31.62374735
,2.99253997
ANXA3,9.88664795
ANXA4,7.84300737
ANXA5,8.89893144
ANXA6,7.88532786
ANXA7,7.89213738
ANXA11,11.68698487
ANXA13,3.97420692
AOAH,1.99946012
AOC2,1.93488498
AOX1,1.99992492
APAF1,7.87347103
NUDT2,0
APOF,2.35810037
APBA1,10.72593401
APBA1,10.72593401
APBA2,4.96226887
APBA2,4.96226887
APBB1,16.76138153
APBB2,5.96217541
APC,17.73122404
APCS,5.68764888
AIRE,2.77119207
APEH,4.9759269
APEX1,11.13413223
BIRC2,6.89623099
BIRC3,5.86464077
XIAP,3.66240179
BIRC5,10.44282282
APLP1,3.98932653
APLP2,6.94999577
APOA1,22.45542977
APOA2,9.68377659
APOA4,11.71693672
APOB,23.50958903
APOBEC1,2.75424746
APOC1,4.66709709
AQP8,2.80622297
APOC2,7.17950472
APOC3,8.54717688
APOC4,2.75254568
APOD,8.88484132
APOE,25.5898132
APOH,8.71205322
APP,36.61372953
APRT,5.89917316
KLK3,5.92528181
FAS,7.86113359
FASLG,10.89841319
SHROOM2,9.91702683
AQP1,14.6291652
AQP2,7.83369867
AQP3,5.91835824
AQP4,3.64425527
AQP5,6.82032025
AQP6,2.93743398
AQP7,3.93243986
AQP9,4.76405259
AR,7.68830931
ABCC6,8.65918196
ABCC6,8.65918196
ARAF,1.73010826
ARCN1,6.72107451
TRIM23,5.66754114
AREG,7.83848324
ARF1,12.79971842
ARF3,5.76817295
ARF4,7.89385331
ARL4D,2.96095097
ARF5,4.80097621
ARF6,16.63775789
ARG1,9.87721902
ARG2,3.41626182
RHOA,26.61701408
RHOB,13.54876059
RHOC,11.65992008
RND3,7.76870595
RHOG,12.70444747
ARHGAP1,5.59461463
ARHGAP4,4.80103817
ARHGAP5,3.659344
ARHGAP6,3.70809836
ARHGDIA,3.98810484
ARHGDIB,5.81788117
ARHGDIG,3.91481895
RHOH,9.61045947
ARL1,4.32216421
PHOX2A,0
ARL2,9.72346819
ARL3,10.72468375
ARNT,4.31234802
ARNTL,5.35980957
ARR3,3.96761702
ARRB1,18.62536866
ARRB2,12.5078199
ARSA,5.76100551
ARSB,10.35605314
STS,9.33917195
ARSD,1.85492097
ARSL,3.71250562
ARSF,1.99886952
ART1,4.87788753
ART3,4.92333125
ART4,3.88435108
ARVCF,5.85157295
ASAH1,5.82945997
ASCL1,2.87590832
ASCL2,2.7459831
ASGR1,2.9211633
ASGR2,3.95982621
ASIP,1.9953845
ASL,2.80599269
ASMT,0
GET3,5.76082812
ASNS,0
ASPA,1.94162869
ASPH,5.6190811
ASS1,9.71758869
ASTN1,4.93751463
SERPINC1,5.8087451
ZFHX3,4.49479736
ATF1,3.57411221
ATF3,3.66345848
ATF4,11.47691921
ATIC,3.96435125
ATM,7.49104978
RERE,1.76512797
ATOH1,0
ATOX1,0
ATP1A1,18.72232497
ATP1A2,10.89407109
ATP1A3,10.90754765
ATP12A,2.75341376
ATP1A4,2.68998167
ATP1B1,11.68053435
ATP1B2,3.85635886
ATP1B3,4.96178487
FXYD2,4.91580195
ATP2A1,6.63816685
ATP2A2,12.73294957
ATP2A3,6.35461482
ATP2B1,11.67800063
ATP2B2,7.94186411
ATP2B3,4.88072758
ATP2B4,11.78460443
ATP4A,2.92856602
ATP4B,1.94377231
ATP4B,1.94377231
ATP5F1A,10.71315124
ALDH7A1,4.68812122
ATP5F1B,12.59504542
ATP5F1C,6.54282
ATP5F1D,4.06473191
ATP5F1E,3.06410354
ATP5PB,8.47983032
ATP5MC1,5.49574296
ATP5MC2,4.62075403
ATP5MC3,4.62075403
ATP5ME,3.04946008
ATP5PF,3.04946008
ATP6V1A,9.90111291
ATP6V1B1,9.86263323
ATP6V1B2,11.87759699
ATP6V0C,9.56767872
ATP6V1C1,7.90493973
ATP6V1E1,7.94453099
ATP6V0B,3.70091554
ATP6V1G2,2.89937164
ATP6V1G2,2.89937164
ATP6V1G2,2.89937164
ATP6V1G2,2.89937164
ATP6V1G2,2.89937164
ATP6V1G2,2.89937164
ATP6V1G2,2.89937164
ATP6V0A1,14.43855601
ATP6AP1,6.90977634
ATP7A,21.62803763
ATP5PO,4.64904015
ATP7B,10.32626795
ATR,5.3592514
ATRX,9.5197906
KIF1A,9.76578495
AUH,1.47083869
AUP1,3.95157504
AVP,5.95791
AVPR1A,2.91771647
AVPR1B,2.91771647
AVPR2,6.7654925
AXL,8.88281725
AZGP1,5.89337428
AZU1,6.89809898
AZU1,6.89809898
B2M,19.65906756
B2M,19.65906756
BAAT,2.70023042
BAAT,2.70023042
BACH1,2.61026656
BAD,2.7589195
BAG1,2.61026656
,0
ADGRB1,11.88255505
ADGRB2,3.88345191
ADGRB3,4.88861523
BAK1,6.75894724
NKX3-2,0
BARD1,7.3051835
BAX,14.66517433
BBS1,5.66929888
BBS2,7.84594613
BBS4,15.2518719
BCAT1,1.73010826
BCAT2,1.47083869
BCHE,4.94615647
BCKDHA,2.33168567
BCKDHB,2.33168567
CCND1,8.79295894
BCL2,12.5785497
BCL2A1,0
BCL2L1,12.60033775
BCL2L2,2.98874395
BCL3,10.41267419
BCL6,3.61958777
BCL9,2.68075314
TNFRSF17,2.93608116
HCN2,3.24494271
OPN1SW,2.80746067
BCR,6.96944123
BCS1L,2.97306937
BDH1,3.52760261
BDKRB1,3.93278486
BDKRB2,2.91771647
BDNF,9.78859286
CFB,4.7073544
CFB,4.7073544
CFB,4.7073544
CFB,4.7073544
CFB,4.7073544
CFB,4.7073544
CFB,4.7073544
BFSP1,2.96965692
BGLAP,7.86904489
BGN,8.89848201
CEACAM1,16.73080379
BHMT,1.99992492
BICD1,10.56423057
BID,4.81104397
BIK,2.99639993
PRDM1,2.75424746
"",1.95814
BLK,1.95814
BLM,11.62873468
BLMH,3.8161249
CXCR5,2.59892695
BLVRA,1.99992492
BLVRB,4.98841606
BNC1,3.32222052
BMI1,6.24639023
BMP1,3.94676322
BMP2,4.95833623
BMP3,1.83440665
BMP4,2.92364827
BMP5,1.99703725
BMP6,2.99723139
BMP7,3.75677673
BMP8B,0
BMPR1A,8.81679668
BMPR1B,5.90929868
BMPR2,14.81620077
BMX,4.9224778
POLR3D,4.57078949
BNIP1,7.10497568
BNIP2,4.42212469
BNIP3,10.38510209
BNIP3L,7.72510102
BOK,13.71899439
DST,19.73734399
FOXL2,2.89886608
BPGM,1.99992492
BPHL,1.7768493
BPI,4.94200345
BRCA1,11.60338499
BRAF,4.39555101
BRCA2,8.7160075
BRDT,0
ZFP36L1,4.77268087
ZFP36L2,2.61026656
BRS3,4.87944787
BSG,11.83483257
BST1,7.96643936
BST2,12.83728422
BTC,4.93290028
BTD,3.90182399
KLF9,3.88033472
KLF5,2.94130792
BTF3,1.94162869
BTG1,1.86907763
BTK,8.58062361
BTN1A1,3.81155236
BUB1,6.41832213
BUB1B,9.24211849
BYSL,8.65284527
TSPO,4.9248816
C1QBP,9.70299725
SERPING1,4.71952084
C1QA,2.90670765
C1QB,3.80137191
C1QC,3.65084967
C1R,3.50998933
C1R,3.50998933
C1S,2.32512716
C2,2.78917913
C2,2.78917913
C2,2.78917913
C2,2.78917913
C2,2.78917913
C2,2.78917913
C2,2.78917913
C3,8.85501971
C3AR1,3.87623721
C4A,10.89438946
C4A,10.89438946
C4A,10.89438946
C4B,9.87930365
C4B,9.87930365
C4B,9.87930365
C4B,9.87930365
C4BPA,4.79317671
C4BPB,3.94008916
CAPN5,3.98093847
C5,3.90343486
C5AR1,5.74080112
C6,2.99346312
C7,2.99346312
C8A,5.7793624
C8B,4.88096744
C8G,3.93891019
C9,8.87551305
VPS51,9.57251201
MRPL49,2.40705282
MYRF,6.64451265
TMEM258,2.92625567
DAGLA,3.94669095
FMNL1,6.90977868
LDLRAD4,3.92203153
PTTG1IP,5.93763517
CFAP410,7.66603637
TMEM50B,5.72727274
TMEM50B,5.72727274
CA1,1.99992492
CA2,8.75715955
CA3,0
CA4,14.68512256
CA5A,1.47083869
CA6,2.78917913
CA7,0
CA8,0
CA9,4.85662858
CA11,1.99795568
CA12,1.98266541
CACNA1A,6.89231699
CACNA1B,4.9142259
CACNA1C,6.87689431
CACNA1C,6.87689431
CACNA1D,3.74177141
CACNA1E,1.90066426
CACNA1F,4.95797806
CACNA1S,5.71712117
DDR1,5.96022133
DDR1,5.96022133
DDR1,5.96022133
DDR1,5.96022133
DDR1,5.96022133
DDR1,5.96022133
CACNA2D1,4.85234606
CACNB1,2.48336818
CACNB2,3.49140794
CACNB3,5.75158004
CACNB4,3.8518009
CACNG1,1.90066426
SLC25A20,2.69552636
CAD,10.84583225
CALB1,10.6914689
CALB2,6.92371136
CALB2,6.92371136
S100G,1.26987453
CALCA,5.95820597
CALCB,1.92196312
CALCR,4.81185825
CALD1,6.56989865
CALM1,13.82090381
CALM2,10.85313668
CALM3,10.85313668
CALML3,2.95458609
CALR,26.25048768
CALU,7.42059469
CAMK4,5.71516524
CAMK2A,10.79519434
CAMK2B,9.88779187
CAMK2D,9.78701449
CAMK2G,8.88248571
CAMLG,2.95864943
CAMP,5.81852922
CANX,16.50175805
CANX,16.50175805
CAPG,9.6302428
CAPN1,9.83922988
CAPN2,14.6413821
CAPN3,8.67163442
CAPNS1,3.96435125
CAPN6,3.43111983
CAPS,1.99895193
CAPZA1,7.67966489
CAPZA2,8.8337624
CAST,2.93496915
CAPZB,7.51668066
CARS1,1.24285218
CARS1,1.24285218
CASP1,9.17703448
CASP2,4.64040616
CASP3,5.85874783
CASP4,10.3827052
CASP5,3.39625824
CASP6,2.7113023
CASP7,3.66240179
CASP8,11.76865593
CASP9,5.52376604
CASP10,3.63567158
CASQ1,10.56355513
CASQ2,8.5605299
CASR,8.7434459
CAT,15.4068394
CAV1,23.41984427
CAV2,16.61909936
CAV3,16.78437944
RUNX2,4.7194382
RUNX1,4.3531775
RUNX1T1,2.13788396
CBFA2T3,3.4788198
RUNX3,7.17126928
CBFB,2.92437843
SERPINA6,1.83440665
SERPINA6,1.83440665
CBL,7.9220663
CBLB,3.98275127
CBLN1,2.97569976
SERPINH1,4.77802503
CBR1,2.7222371
CBR3,2.99312567
CBS,2.61026656
CCIN,2.80804283
"",1.97950538
KYAT1,1.97950538
CCK,7.60718926
CCKAR,2.81500504
CCKBR,1.98266541
KRIT1,5.97805967
CCNA2,7.39778898
CCNB1,10.65123308
CCNC,3.53714137
CCND2,8.51575273
CCND3,4.86893228
CCNE1,6.62521728
CCNF,7.75292003
CCNG1,3.78738423
CCNG2,2.84036681
CCNH,5.31607799
CCNT1,4.47448019
CCNT2,6.74849372
CCT6A,4.77909365
CD1A,4.9239183
CD1B,4.94239057
CD1C,4.91635836
CD1D,8.75422534
CD1E,6.84072846
CD2,7.64259215
CD3D,6.76948939
CD3E,8.58794815
CD3G,5.59892627
CD247,4.74294258
CD4,8.85096828
CD5,2.59892695
CD5L,5.80883952
CD6,5.43940613
CD7,2.85393962
CD8A,5.70622642
CD8B,4.91873459
CD8B2,1.98266541
CD9,11.84531963
CD14,11.90686701
CD19,4.88694503
MS4A1,5.90599476
"",3.97855715
MS4A3,3.97855715
CD22,2.99456272
CD27,3.80339749
CD28,6.6710859
CD80,5.82655783
CD86,4.89194958
TNFRSF8,2.98182781
TNFSF8,2.92856602
CD33,5.82571208
SIGLEC6,2.96410559
CD34,9.74219595
CD36,15.77721556
SCARB1,8.88790045
SCARB2,12.74908878
CD37,3.92877417
CD38,7.90127724
ENTPD1,3.91360277
ENTPD2,3.98873252
ENTPD6,6.937906
ENTPD3,1.98266541
ENTPD5,1.9994798
CD40,9.82157495
CD40LG,6.76756899
CD44,13.81340076
CD47,4.87921687
CD48,5.86224688
CD53,7.86516013
CD58,6.88236827
CD59,14.77554245
CD63,14.44095571
CD68,4.92228939
CD69,2.93957923
CD70,2.93433955
CD72,1.74820254
CD74,20.65590481
CD79A,4.90051486
CD79B,7.88120934
CD81,7.77997952
ADGRE5,5.95917591
CD151,6.92854615
CDA,4.50929546
CDK1,15.58724553
CDK11B,1.86907763
LRBA,5.76979428
CDC5L,9.5970616
SEPTIN7,16.58956042
CDC6,6.48070297
CDC20,7.48997255
CDC25A,3.66240179
CDC25B,5.64945863
CDC25C,5.42430349
CDC27,7.56654238
CDC34,3.54447052
CDC42,24.61124075
CDH1,18.83554609
CDH2,25.76071253
CDH3,5.92383186
CDH4,4.8698785
CDH4,4.8698785
CDH5,9.82398791
CDH6,4.94034826
CDH7,4.94034826
CDH8,6.9638725
CDH9,5.88077062
CDH10,4.94034826
CDH11,6.94540174
CDH12,4.94034826
CDH13,14.88905883
CDH15,9.94361655
CDH16,2.94045173
CDH17,7.89558662
CDH18,4.94034826
CDK2,16.1096182
CDK3,0
CDK4,10.60181706
CDK5,20.7427691
CDK6,6.77195576
CDK7,6.49706091
CDK7,6.49706091
CDK8,4.36170809
CDK9,9.39535479
CDKN1A,8.44786072
CDKN1B,6.48198895
CDKN1C,1.86907763
CDKN1C,1.86907763
CDKN2A,3.7324639
CDKN2B,2.61026656
CDKN2C,2.61026656
CDKN2D,4.71004269
CDKN3,3.28327438
CDO1,0
CDR2,0
CDS1,2.87518539
CDSN,4.84638471
CDSN,4.84638471
CDSN,4.84638471
CDSN,4.84638471
CDSN,4.84638471
CDSN,4.84638471
CD52,5.87219232
CDX1,0
CDX2,3.75442909
CDX4,0
CLGN,3.82137585
CEACAM5,8.70437393
CEBPA,3.89693929
CEBPB,6.37738363
CEBPD,0
CEBPE,1.61745951
CEBPG,1.61745951
CEL,6.92865894
CENPA,9.08926086
CENPB,4.51797713
CENPC,11.61740934
CENPE,14.12608582
CENPF,17.991373
CES1,3.81828249
CES1,3.81828249
CETN1,5.65909459
CETN2,9.56489869
CETN3,7.29255831
CETP,4.81817317
CFL1,13.92111984
CFL2,5.83792877
CTSC,12.71174933
CFTR,20.44598584
CGA,3.88820084
CGB3,2.90800636
CEACAM3,2.98968662
CEACAM7,3.91430644
CEACAM8,7.86760094
CEACAM4,1.98343236
CHAD,0
RCBTB2,0
CHAT,4.80255388
RCC1,7.49814368
CHD1,3.5604406
CHD2,2.96629457
CHD3,6.45371689
CHD4,7.79705553
AKR1C4,2.80599269
CHEK1,10.56093372
FOXN3,0
CHGA,6.78684433
CHGA,6.78684433
CHGB,3.94795765
CHI3L1,7.84142459
CHI3L2,1.70705006
CHIT1,4.89788808
CHKA,0
CHKB,0
CHM,1.66171855
CHML,3.80622632
CHN1,0
"",1.99733796
CHN2,1.99733796
CHRM1,8.90281048
CHRM2,11.91440126
LYST,1.90233666
CHRM3,8.86735825
CHRM4,5.92344826
CHRM5,5.92344826
CHRNA1,8.86396356
CHRNA2,7.86949747
CHRNA3,11.85324786
CHRNA4,11.81905163
CHRNA5,6.88708432
"",12.68077256
"",12.68077256
CHRNA7,12.68077256
CHRNB1,5.94431135
CHRNB1,5.94431135
CHRNB2,9.77453132
CHRNB3,7.86949747
CHRNB4,9.89112507
CHRND,8.91635335
CHRNE,6.88708432
CHRNG,6.88708432
CHUK,6.8102514
CIDEA,5.38312113
CKB,6.95230661
CIRBP,5.43702656
CISH,2.98736489
TBCB,3.70809836
CKM,0
CKMT1B,1.6697435
CKMT2,1.6697435
ERCC8,8.65413021
CKS1B,2.91463141
CKS2,1.80308819
AP2M1,8.64483226
AP1S1,10.58109836
AP2S1,6.60622375
AP3S1,6.5656443
CLC,0
CLCA1,5.942597
CLCN1,3.65063943
CLCN2,2.89489364
CLCN3,18.87827407
CLCN4,8.17787895
CLCN5,10.62741281
CLCN6,2.93429059
CLCN7,4.95713442
CLCNKA,2.89489364
CLCNKB,2.89489364
CLU,24.53377413
CLIC1,13.80907443
CLIC1,13.80907443
CLIC1,13.80907443
CLIC1,13.80907443
CLIC1,13.80907443
CLIC1,13.80907443
CLIC1,13.80907443
CLIC2,3.82528282
CLK1,1.86907763
CLK2,2.50205759
CLK2,2.50205759
CLK3,5.75046803
TPP1,3.84710549
CLN3,19.71077048
CLN5,7.5519277
CLNS1A,6.7582001
CLPS,0
CLPTM1,2.90173242
CLTA,14.57386218
CLTB,11.71102754
CLTC,23.59777088
CMA1,4.88934455
CCR1,3.74765466
CCR3,3.74765466
CCR4,3.76337007
CCR5,5.76597794
CCR6,8.57988662
CCR7,5.80068855
CCR8,2.59892695
ACKR2,9.75829898
CMKLR1,2.76517713
LTB4R,2.90579814
LTB4R,2.90579814
ABCC2,5.83789823
CNGB1,7.92577873
CNGA1,2.8711513
CNGA2,2.82713554
CNGA3,4.96891663
CNGA4,2.82713554
PLK3,7.74415936
CNN1,1.99990956
CNN2,7.94331841
CNN3,6.972062
CNP,15.73204666
CNR1,5.92909041
CNR2,4.89343238
CNTF,3.94830677
CNTFR,7.84341256
CNTN1,5.91815869
COL1A1,8.79299422
COL1A2,7.76261936
COL2A1,7.59648507
COL3A1,5.66242323
COL4A1,6.49638005
COL4A2,6.7157341
COL4A3,6.86256985
COL4A4,3.95088714
COL4A5,4.95908607
COL4A6,3.95088714
COL5A1,6.49411513
COL5A2,6.73304998
COL6A1,9.90671774
COL6A2,9.76783001
COL6A3,8.77528655
COL7A1,8.84348418
COL8A1,4.89372234
COL8A2,6.5630829
COL9A1,3.9576014
COL9A2,4.93312161
COL9A3,3.9576014
COL10A1,4.96149104
COL11A1,3.94617606
COL11A2,4.94545355
COL11A2,4.94545355
COL11A2,4.94545355
COL11A2,4.94545355
COL11A2,4.94545355
COL11A2,4.94545355
COL11A2,4.94545355
COL12A1,7.6517659
COL13A1,6.95377054
COL15A1,6.89118597
COL16A1,4.91123378
COL17A1,8.95058583
COL19A1,4.85050547
COMP,4.48280235
COMT,10.88629996
COPA,8.82864642
COPB1,13.05245496
KLF6,4.28038182
SLC31A1,4.86263313
SLC31A2,2.7037341
CORT,3.81408375
MAP3K8,1.24285218
COX4I1,4.71729861
COX5B,2.54916337
COX6A1,2.54916337
COX6A2,0
COX6B1,1.54231021
COX6C,2.91261793
COX7A1,3.75018226
COX7A2,1.28999448
,1.28999448
COX7B,2.70227387
COX7C,3.79172006
COX8A,2.91261793
COX10,5.90466404
COX11,2.96476283
COX15,5.7464836
CP,5.81221987
CPA1,0
CPA2,2.92082943
CPA3,4.85535574
CPB1,0
CPB2,3.85244898
CPD,4.93091529
CPE,9.82616151
CLDN4,7.34279678
CLDN3,5.81279419
CLDN7,5.4829187
CLDN7,5.4829187
CPM,5.92839965
CPN1,1.70705006
CPN2,2.86756497
CPOX,4.4541364
CPS1,5.64448814
CPT1A,3.78028691
CPT1B,2.94081132
CPT2,3.55820001
CR1,5.87799763
CR1L,3.95994223
CR2,3.99450349
CRABP1,0
CRABP2,3.91733401
CRAT,5.14182546
CREB1,6.63884786
ATF2,4.78749211
CREBBP,5.17482593
ATF6B,7.61345443
ATF6B,7.61345443
ATF6B,7.61345443
ATF6B,7.61345443
CREBL2,0
CREM,2.70285551
CRH,4.95794468
CRHBP,14.64635847
CRHR1,5.72710452
"",5.72710452
LINC02210-CRHR1,5.72710452
CRHR1,5.72710452
CRHR2,4.83806329
CRIP1,0
CRIP2,0
CRK,7.9003159
CRKL,2.90531911
CRMP1,3.8115591
CRP,1.70705006
HAPLN1,2.35463453
CRX,0
CRY1,1.40123275
CRY2,3.92459326
CRYAA,3.66240179
CRYAB,18.59175402
CRYBA1,1.86907763
CRYGB,1.86907763
CRYGC,1.86907763
CRYGC,1.86907763
CRYGD,1.86907763
CRYGD,1.86907763
CRYM,5.64313561
CRYZ,1.99992492
CS,3.69644891
MAPK14,9.51001263
CSE1L,6.79720762
CSF1,7.93225725
CSF1R,7.88469814
CSF2,2.91628614
CSF2RA,5.86254653
CSF2RB,3.70950021
CSF3,1.70705006
CSF3R,4.87847551
CSH1,4.94593901
CSH2,3.94676322
CSHL1,1.70705006
CSK,6.91816418
CSN1S1,1.70705006
CSN2,1.70705006
CSN3,1.70705006
CSNK1A1,12.73788385
CSNK1D,12.46193499
CSNK1E,3.66240179
CSNK1G2,3.80509669
CSNK1G3,1.86907763
CSNK2A1,7.59997829
CSNK2A2,6.70734163
CSNK2B,13.58502633
CSNK2B,13.58502633
CSNK2B,13.58502633
CSNK2B,13.58502633
CSNK2B,13.58502633
CSNK2B,13.58502633
CSNK2B,13.58502633
VCAN,7.76835099
NCAN,2.88335435
CSPG4,9.96074821
CSRP1,2.997119
CSRP2,1.99990956
SLC25A10,3.5022536
CST1,0
CST2,0
CST3,13.81816793
CST4,1.83440665
CST5,2.78917913
CST6,1.99987614
CSTA,4.85850062
CSTB,8.7146916
CSTF1,1.12427871
CSTF2,2.06009056
CSTF3,1.61745951
NKX2-5,5.72344038
CTAG1B,0
CTBS,2.92144346
CTBP1,3.87786404
CTBP2,3.96679566
CTF1,1.70705006
CCN2,7.80877417
CTH,2.80599269
CTLA4,6.88528912
CTNNA1,13.87715703
CTNNA2,9.90203752
CTNS,10.61219015
CTNNB1,37.57141285
CTNND1,11.89050769
CTNND2,8.92431779
CTPS1,1.99733796
CTRB1,1.70705006
CTRB1,1.70705006
CTRL,0
"",10.75291748
CTSB,10.75291748
CTSD,10.76795736
CTSE,0
CTSG,11.81391322
CTSH,11.5695651
CTSK,6.69011685
CTSL,6.81861894
CTSV,10.91334711
CTSO,1.99982137
CTSO,1.99982137
CTSS,7.56781005
CTSW,4.95268516
CTSZ,16.51166773
CUX1,4.56974331
CX3CR1,7.82949625
CXADR,18.83910538
TEX28,1.9977004
CYB5A,5.90599867
CYB561,1.99953888
CYBA,16.67487679
CYBB,12.7195283
CYC1,5.81742145
CYLC1,2.87979884
CYLC2,1.94644641
CYLD,8.67074391
CYP1A1,3.66138726
CYP1A2,2.89366853
CYP1B1,2.89325931
CYP2A6,4.85007103
CYP2A7,3.866916
CYP3A7,1.96359409
CYP2A13,3.866916
CYP2B6,3.866916
CYP2C19,3.866916
CYP2C8,3.866916
CYP2C9,3.866916
CYP2C18,3.866916
CYP2D7,3.71960602
CYP2D7,3.71960602
CYP2D7,3.71960602
"",3.71960602
CYP2D7,3.71960602
CYP2D6,5.33408395
CYP2D6,5.33408395
CYP2D6,5.33408395
CYP2D6,5.33408395
CYP2D6,5.33408395
CYP2D6,5.33408395
CYP2E1,5.24751007
CYP2F1,3.866916
CYP2J2,4.90773838
CYP3A4,4.91156875
CYP3A5,2.89366853
CYP4A11,4.89948175
CYP4B1,1.96359409
CYP7A1,2.89366853
CYP8B1,3.9058828
CYP11A1,2.4194034
CYP11A1,2.4194034
CYP11B1,1.6697435
CYP11B2,1.6697435
CYP17A1,3.92083295
CYP19A1,2.874306
CYP21A2,1.96359409
CYP21A2,1.96359409
CYP21A2,1.96359409
