Gene	HIPred
PRAMEF22	0.25535503
PRAMEF11	0.25535503
PRAMEF4	0.25535503
AADACL4	0.111908376
PRAMEF10	0.430698156
VPS13D	0.563471615
PRAMEF7	0.186891869
PRAMEF14	0.186891869
PRDM2	0.654942453
TMEM51	0.552602291
PRAMEF19	0.186891869
PDPN	0.123297259
CELA2B	0.111908376
CTRC	0.170125708
EFHD2	0.515755296
PRAMEF17	0.25535503
PRAMEF13	0.186891869
CELA2A	0.139342904
KAZN	0.55968374
AGMAT	0.239198908
SPEN	0.774626613
TMEM82	0.196595117
SLC25A34	0.250911236
FBLIM1	0.511493564
PLEKHM2	0.414402038
CLCNKA	0.139342904
DNAJC16	0.492040008
RSG1	0.167412758
ARHGEF19	0.533326328
FAM131C	0.247034907
EPHA2	0.736296356
HSPB7	0.382602245
CLCNKB	0.111908376
ZBTB17	0.824708164
DDI2	0.824708164
RSC1A1	0.146139458
C1orf64	0.146139458
CASP9	0.669261694
FBXO42	0.672696948
PADI1	0.207846448
CROCC	0.277835101
ATP13A2	0.563471615
ARHGEF10L	0.563471615
PADI2	0.431424886
PADI4	0.340754777
SDHB	0.693781972
NECAP2	0.196595117
MFAP2	0.62908268
SPATA21	0.111908376
RCC2	0.799691498
SZRD1	0.329177499
IGSF21	0.578774989
PADI3	0.207846448
ACTL8	0.427720666
UBR4	0.625414073
KLHDC7A	0.237914741
CAPZB	0.687749088
AKR7A3	0.1311391
TMCO4	0.250911236
NBL1	0.460647643
ALDH4A1	0.636561334
EMC1	0.332716376
PAX7	0.789073229
HTR6	0.434880495
AKR7L	0.139342904
TAS1R2	0.146139458
PQLC2	0.300877631
OTUD3	0.28195098
MINOS1	0.293772042
IFFO2	0.274280727
AKR7A2	0.148215801
MINOS1-NBL1	0.180262446
RNF186	0.146139458
MRTO4	0.782960892
NBPF3	0.139342904
PINK1	0.563732088
DDOST	0.735656083
EIF4G3	0.782960892
CDA	0.332483917
PLA2G5	0.154552862
ECE1	0.72829324
CAMK2N1	0.420877218
PLA2G2F	0.146139458
MUL1	0.674636364
SH2D5	0.372816563
KIF17	0.329388738
PLA2G2A	0.212344229
PLA2G2D	0.123297259
PLA2G2C	0.123297259
PLA2G2E	0.170125708
UBXN10	0.152543604
HP1BP3	0.672696948
RAP1GAP	0.774248421
EPHA8	0.650952637
C1QB	0.208481908
ZBTB40	0.414402038
C1QC	0.200602785
LUZP1	0.38356629
CELA3A	0.111908376
EPHB2	0.782960892
LDLRAD2	0.207913831
ALPL	0.622939706
CDC42	0.782960892
C1QA	0.237914741
WNT4	0.719017506
CELA3B	0.148215801
USP48	0.72829324
HTR1D	0.494588822
HSPG2	0.594703972
KDM1A	0.745582581
MDS2	0.179693475
HNRNPR	0.782960892
RPL11	0.756383896
ZNF436	0.532612622
IL22RA1	0.313246071
TCEB3	0.633151233
C1orf213	0.123297259
LYPLA2	0.628093183
FUCA1	0.563732088
TCEA3	0.24992983
GALE	0.389227211
E2F2	0.77079457
HMGCL	0.318680406
PITHD1	0.607464552
ID3	0.628632843
MYOM3	0.219123349
CNR2	0.207846448
ASAP3	0.747131348
TMEM50A	0.444217145
C1orf63	0.23504512
RCAN3	0.352169782
MAN1C1	0.596810639
MTFR1L	0.609352291
IFNLR1	0.31642738
RHD	0.132359073
TMEM57	0.72829324
SYF2	0.722600996
RUNX3	0.850708902
CLIC4	0.439076573
RHCE	0.380376667
NIPAL3	0.394194305
NCMAP	0.303136498
GRHL3	0.653748095
LDLRAP1	0.7284199
SRRM1	0.831385493
STPG1	0.146139458
SEPN1	0.250911236
UBXN11	0.29756096
LIN28A	0.550078094
CATSPER4	0.203408599
FAM110D	0.3236835
AUNIP	0.123297259
CNKSR1	0.337193638
ZNF683	0.123297259
CEP85	0.492040008
PAFAH2	0.144167379
PDIK1L	0.526200235
DHDDS	0.72829324
AIM1L	0.315539598
STMN1	0.665096879
SLC30A2	0.569524527
SH3BGRL3	0.444217145
ZNF593	0.672466934
TRIM63	0.520437062
EXTL1	0.169639766
PAQR7	0.325380534
CD52	0.123297259
FCN3	0.198285043
WDTC1	0.824708164
PIGV	0.167412758
ARID1A	0.782960892
HMGN2	0.508349061
TMEM222	0.329177499
SFN	0.713102221
CD164L2	0.144167379
MAP3K6	0.533326328
GPATCH3	0.167412758
RPS6KA1	0.638582647
SYTL1	0.277332485
ZDHHC18	0.432995379
NUDC	0.782960892
GPN2	0.50664252
FAM46B	0.546332002
NR0B2	0.451241881
SLC9A1	0.72905165
C1orf172	0.386722207
XKR8	0.153042644
STX12	0.698813558
EYA3	0.72829324
PPP1R8	0.782960892
FGR	0.722077608
IFI6	0.180262446
SESN2	0.70209074
FAM76A	0.495052665
ATPIF1	0.372475863
AHDC1	0.675177455
MED18	0.69828999
PTAFR	0.672466934
GPR3	0.458951801
THEMIS2	0.270194381
WASF2	0.628093183
SMPDL3B	0.169639766
DNAJC8	0.774626613
RPA2	0.712307036
SRSF4	0.782960892
OPRD1	0.744580269
SNRNP40	0.816371083
PHACTR4	0.379004091
TAF12	0.824017704
SDC3	0.604156792
LAPTM5	0.700975537
RCC1	0.735656083
PUM1	0.661956608
PTPRU	0.781591654
ZCCHC17	0.595059097
GMEB1	0.824708164
TMEM200B	0.413446665
EPB41	0.743839204
RAB42	0.123297259
TRNAU1AP	0.685697198
MATN1	0.465901136
NKAIN1	0.587444782
YTHDF2	0.72829324
MECR	0.443194807
FABP3	0.289402336
EIF3I	0.824708164
COL16A1	0.414402038
CCDC28B	0.207715049
PEF1	0.440227807
BAI2	0.658317327
SERINC2	0.288606137
KPNA6	0.782960892
AC114494.1	0.123297259
PTP4A2	0.661956608
SPOCD1	0.272623926
TXLNA	0.824708164
HCRTR1	0.625555396
IQCC	0.123297259
TMEM234	0.196595117
DCDC2B	0.123297259
TINAGL1	0.61401242
KHDRBS1	0.802043378
TMEM39B	0.527021706
BSDC1	0.581344306
TMEM54	0.146139458
TSSK3	0.382642359
FAM167B	0.278598309
ZBTB8B	0.111908376
HPCA	0.735812962
MARCKSL1	0.386047035
KIAA1522	0.474331677
ZBTB8A	0.562352598
ZBTB8OS	0.529801667
FNDC5	0.491883337
HDAC1	0.756383896
SYNC	0.244090512
RNF19B	0.852899194
RBBP4	0.824708164
YARS	0.656619608
LCK	0.809006751
S100PBP	0.273053437
PHC2	0.650558949
TRIM62	0.495052665
SFPQ	0.738502383
SMIM12	0.384370744
ADC	0.354187191
ZMYM1	0.27013588
GJB3	0.300067365
C1orf94	0.211700186
AK2	0.392525017
A3GALT2	0.271480918
GJA4	0.464746416
DLGAP3	0.824708164
GJB4	0.170125708
ZNF362	0.661956608
ZSCAN20	0.303854674
ZMYM4	0.604800642
ZMYM6	0.273409843
HMGB4	0.123297259
GJB5	0.247530133
COL8A2	0.579714477
KIAA0319L	0.396477103
TEKT2	0.250911236
AGO3	0.824708164
ADPRHL2	0.247530133
AGO4	0.75617367
C1orf216	0.170125708
MAP7D1	0.435993791
CLSPN	0.794330716
PSMB2	0.824708164
AGO1	0.784873009
NCDN	0.685697198
EVA1B	0.59314847
THRAP3	0.824708164
SH3D21	0.123297259
TRAPPC3	0.438924611
TFAP2E	0.300877631
LSM10	0.744492769
STK40	0.579714477
DNALI1	0.243945658
EPHA10	0.394989491
CDCA8	0.770411849
ZC3H12A	0.661956608
MTF1	0.72829324
C1orf122	0.326996714
CSF3R	0.322283506
OSCP1	0.203500494
SF3A3	0.747748911
RSPO1	0.341777653
FHL3	0.824708164
MRPS15	0.53944236
GNL2	0.758486152
SNIP1	0.824708164
GRIK3	0.767620981
YRDC	0.231108725
MANEAL	0.319022149
INPP5B	0.415125638
MEAF6	0.858686686
C1orf109	0.207913831
PPIE	0.665089011
KIAA0754	0.171636716
PABPC4	0.811256826
NT5C1A	0.420725316
GJA9	0.169639766
HPCAL4	0.65375185
HEYL	0.207846448
MYCBP	0.644865394
UTP11L	0.613881767
MYCL	0.52670759
BMP8A	0.56806618
TRIT1	0.174265563
RRAGC	0.765388608
BMP8B	0.51624912
MACF1	0.666776061
AKIRIN1	0.521863043
NDUFS5	0.170952082
RHBDL2	0.37720111
PPT1	0.252979308
RLF	0.725453019
ZFP69	0.111908376
CTPS1	0.824394882
SCMH1	0.575333595
TMCO2	0.123297259
KCNQ4	0.714798927
EXO5	0.170125708
SLFNL1	0.146139458
ZFP69B	0.111908376
SMAP2	0.554481149
FOXO6	0.285495073
COL9A2	0.475266188
NFYC	0.698851705
ZMPSTE24	0.400788903
RIMS3	0.455349416
CITED4	0.237914741
CAP1	0.74495703
ZNF684	0.123297259
MFSD2A	0.687749088
HIVEP3	0.594703972
FOXJ3	0.569524527
PPCS	0.417329907
ZNF691	0.198833391
C1orf50	0.205863535
ZMYND12	0.322202206
SLC2A1	0.824708164
YBX1	0.782960892
GUCA2A	0.123297259
CLDN19	0.444217145
GUCA2B	0.203408599
PPIH	0.76946485
CCDC23	0.325380534
FAM183A	0.111908376
LEPRE1	0.205308586
EDN2	0.146139458
ERMAP	0.148215801
CCDC30	0.145488262
RIMKLA	0.541987121
EBNA1BP2	0.568097949
PTPRF	0.792615056
ATP6V0B	0.710111797
C1orf210	0.215463996
B4GALT2	0.72829324
KDM4A	0.794491291
WDR65	0.195843071
HYI	0.196595117
MPL	0.597733259
DPH2	0.519577324
SLC6A9	0.638582647
ARTN	0.285495073
SZT2	0.61401242
IPO13	0.727574825
CDC20	0.705665529
MED8	0.526689768
TMEM125	0.325380534
ST3GAL3	0.624641776
ELOVL1	0.72829324
CCDC24	0.123297259
TIE1	0.685284317
PTCH2	0.367181987
MUTYH	0.561549425
RNF220	0.782960892
ZSWIM5	0.626356006
KLF17	0.123297259
TCTEX1D4	0.257723212
DMAP1	0.74495703
KIF2C	0.662961483
TMEM53	0.480083048
BEST4	0.419925481
RPS8	0.782960892
HPDL	0.272162974
UROD	0.285455585
ERI3	0.697314024
EIF2B3	0.695738852
PLK3	0.705665529
HECTD3	0.563471615
TOE1	0.575230479
MAST2	0.638582647
CCDC163P	0.123297259
PIK3R3	0.71511656
UQCRH	0.644865394
PRDX1	0.734409273
MMACHC	0.167412758
NSUN4	0.196595117
CCDC17	0.123297259
NASP	0.327572614
FAAH	0.386892766
RAD54L	0.616565049
POMGNT1	0.426189721
LURAP1	0.309602141
TSPAN1	0.186852723
TMEM69	0.123297259
TESK2	0.392636538
IPP	0.443194807
AKR1A1	0.465901136
LRRC41	0.784873009
GPBP1L1	0.465020806
MOB3C	0.390232295
MKNK1	0.647121608
CYP4B1	0.170125708
STIL	0.233205885
CYP4Z1	0.139342904
ATPAF1	0.816371083
CMPK1	0.436550707
PDZK1IP1	0.310480386
CYP4X1	0.138881207
TAL1	0.830027878
KNCN	0.504491389
TRABD2B	0.278598309
DMBX1	0.738096178
EFCAB14	0.195770636
CYP4A11	0.111908376
CYP4A22	0.111908376
RNF11	0.799537539
BEND5	0.59314847
TXNDC12	0.276369214
CDKN2C	0.695539832
FAF1	0.786468923
ZFYVE9	0.493340611
OSBPL9	0.661956608
TTC39A	0.554481149
EPS15	0.731391132
SLC5A9	0.196595117
BTF3L4	0.410600603
ELAVL4	0.78311038
AGBL4	0.249647394
RAB3B	0.624201357
NRD1	0.643913925
KTI12	0.378789186
SPATA6	0.226808339
ZCCHC11	0.628093183
SCP2	0.575093865
NDC1	0.590243399
DMRTB1	0.317764372
GLIS1	0.694476306
MAGOH	0.619122148
ZYG11B	0.796318471
CC2D1B	0.443194807
CPT2	0.465901136
C1orf123	0.389227211
ORC1	0.639895916
GPX7	0.196595117
COA7	0.239817828
ECHDC2	0.196595117
FAM159A	0.14374274
PODN	0.425287902
LRP8	0.748812795
PRPF38A	0.816371083
SLC1A7	0.250911236
ACOT11	0.250911236
HSPB11	0.283835173
CYB5RL	0.123297259
SSBP3	0.748812795
YIPF1	0.397203147
DIO1	0.198833391
LRRC42	0.250911236
PARS2	0.546999931
TMEM59	0.28195098
MROH7	0.111908376
TCEANC2	0.215832233
CDCP2	0.196595117
TTC4	0.502641737
TTC22	0.238498077
FAM151A	0.169639766
LDLRAD1	0.169639766
MRPL37	0.238248721
C1orf177	0.146139458
JUN	0.713102221
C8A	0.218534321
MYSM1	0.636561334
TMEM61	0.123297259
FGGY	0.215832233
OMA1	0.146139458
DHCR24	0.852899194
C1orf168	0.123297259
C1orf87	0.123297259
CYP2J2	0.146139458
C8B	0.186852723
PPAP2B	0.752204061
PCSK9	0.317658246
PRKAA2	0.584785461
DAB1	0.591455102
USP24	0.563471615
TACSTD2	0.272162974
BSND	0.123297259
HOOK1	0.544160545
ALG6	0.447972327
NFIA	0.773467124
KANK4	0.203408599
ITGB3BP	0.412388772
DOCK7	0.636561334
ANGPTL3	0.338818938
TM2D1	0.235265657
UBE2U	0.14374274
PGM1	0.331085682
ROR1	0.72829324
USP1	0.782960892
RAVER2	0.265566707
INADL	0.628225148
L1TD1	0.123297259
ATG4C	0.291848779
EFCAB7	0.146139458
CACHD1	0.539853334
JAK1	0.789748371
SGIP1	0.65594852
IL23R	0.394455194
C1orf141	0.146139458
MIER1	0.74495703
TCTEX1D1	0.208809972
LEPROT	0.611540556
PDE4B	0.71454072
INSL5	0.123297259
DIRAS3	0.371950239
SERBP1	0.726476312
IL12RB2	0.417639136
LEPR	0.61659354
WDR78	0.195026666
GNG12	0.397666126
AK4	0.642433643
SLC35D1	0.301342905
DNAJC6	0.850708902
GADD45A	0.77542007
TNNI3K	0.146139458
PTGER3	0.610090971
TYW3	0.355142504
CRYZ	0.294196963
FPGT	0.146139458
SRSF11	0.824708164
ZRANB2	0.672696948
DEPDC1	0.492040008
WLS	0.604653239
NEGR1	0.707306206
C1orf173	0.152543604
CTH	0.24992983
LRRC7	0.765201449
ANKRD13C	0.672696948
RPE65	0.28195098
FPGT-TNNI3K	0.146139458
HHLA3	0.146139458
LRRC40	0.349588096
LRRIQ3	0.146139458
IFI44	0.111908376
SLC44A5	0.542668164
FUBP1	0.782960892
DNAJB4	0.782960892
ST6GALNAC5	0.745343864
RABGGTB	0.748812795
NEXN	0.447972327
PIGK	0.237181425
IFI44L	0.111908376
LHX8	0.836621523
ST6GALNAC3	0.442606151
ASB17	0.231108725
GIPC2	0.300067365
ACADM	0.337667197
MSH4	0.45659554
PTGFR	0.694935441
AK5	0.622939706
ZZZ3	0.782960892
USP33	0.639467537
FAM73A	0.426189721
C1orf52	0.325380534
WDR63	0.461525708
LPHN2	0.609352291
LPAR3	0.610724151
DDAH1	0.591572225
SAMD13	0.249851257
ELTD1	0.394304127
MCOLN2	0.196595117
PRKACB	0.774626613
SYDE2	0.17742236
DNASE2B	0.309743106
BCL10	0.498580217
SSX2IP	0.578267157
CYR61	0.852899194
MCOLN3	0.475931793
TTLL7	0.638582647
RPF1	0.679513812
CTBS	0.169639766
GNG5	0.215526447
SH3GLB1	0.653748095
CCBL2	0.204349279
Sep-15	0.234216228
GBP4	0.111908376
ODF2L	0.146139458
COL24A1	0.552349925
HS2ST1	0.30187729
GTF2B	0.782960892
GBP7	0.111908376
CLCA4	0.111908376
PKN2	0.738514006
RP5-1052I5.2	0.214144617
GBP1	0.252101153
CLCA1	0.349767208
ZNHIT6	0.17343317
CLCA2	0.152543604
GBP3	0.111908376
RBMXL1	0.546432495
GBP2	0.289810926
LMO4	0.805930316
GBP6	0.111908376
HFM1	0.306605697
CDC7	0.757881999
BTBD8	0.146139458
BARHL2	0.735812962
ZNF326	0.496827245
GBP5	0.132359073
GLMN	0.663305879
ZNF644	0.434545994
EPHX4	0.544160545
C1orf146	0.309602141
GFI1	0.828495383
LRRC8C	0.638582647
EVI5	0.694493771
RPAP2	0.27013588
TGFBR3	0.679628551
BRDT	0.464344293
LRRC8B	0.739938915
LRRC8D	0.72829324
ABCD3	0.649218917
FAM69A	0.336089313
TMEM56	0.158249199
ARHGAP29	0.741949439
ABCA4	0.447972327
F3	0.337708294
CNN3	0.692589045
RPL5	0.782960892
BCAR3	0.748882174
RWDD3	0.167412758
MTF2	0.774626613
TMED5	0.291848779
DR1	0.765388608
FNBP1L	0.695752084
ALG14	0.300877631
SLC44A3	0.219123349
DNTTIP2	0.524248719
TMEM56-RWDD3	0.111908376
GCLM	0.653748095
SNX7	0.544160545
DBT	0.429452002
FRRS1	0.252921104
HIAT1	0.672696948
LPPR4	0.800036311
TRMT13	0.332857996
SLC30A7	0.544160545
LPPR5	0.800036311
DPYD	0.544160545
CDC14A	0.666110396
PTBP2	0.816371083
LRRC39	0.443194807
AGL	0.705665529
GPR88	0.463758975
VCAM1	0.667027235
RTCA	0.396588415
SASS6	0.475502193
EXTL2	0.306355447
PALMD	0.544160545
SLC35A3	0.438924611
SLC25A24	0.349588096
AMY1C	0.506795704
HENMT1	0.146139458
OLFM3	0.342541873
RNPC3	0.231108725
AMY2B	0.146139458
NTNG1	0.712967157
FAM102B	0.605333805
PRMT6	0.515755296
AMY2A	0.237914741
S1PR1	0.679902017
AC093157.1	0.146139458
NBPF4	0.111908376
PRPF38B	0.624641776
DPH5	0.730656445
NBPF6	0.111908376
VAV3	0.652402878
AMY1A	0.257723212
COL11A1	0.591144443
ATXN7L2	0.484736234
PSRC1	0.123297259
TMEM167B	0.31858325
KIAA1324	0.553528666
TAF13	0.769165754
WDR47	0.563471615
SORT1	0.806311309
PSMA5	0.833060265
MYBPHL	0.284816563
CELSR2	0.61401242
CLCC1	0.233205885
SARS	0.748812795
STXBP3	0.522324622
C1orf194	0.187832981
AKNAD1	0.152543604
AMIGO1	0.70702368
FNDC7	0.29411751
SYPL2	0.296285838
CYB561D1	0.19806622
GPSM2	0.563732088
SLC6A17	0.80871886
GPR61	0.672696948
GSTM4	0.206221983
GNAI3	0.75617367
CSF1	0.597105265
LAMTOR5	0.146139458
ALX3	0.410087407
GSTM1	0.372822046
GSTM2	0.276089519
GSTM3	0.247530133
RBM15	0.661956608
GSTM5	0.111908376
AMPD2	0.636561334
UBL4B	0.123297259
EPS8L3	0.27013588
KCNC4	0.417329907
GNAT2	0.56736964
AHCYL1	0.672696948
SLC16A4	0.457206547
STRIP1	0.791830122
DDX20	0.436840415
KCNA10	0.581546009
DENND2D	0.455349416
LRIF1	0.145488262
RAP1A	0.762403488
ADORA3	0.123297259
DRAM2	0.252979308
KCNA2	0.850708902
CHI3L2	0.215463996
CD53	0.324233919
C1orf162	0.146139458
WDR77	0.660929263
OVGP1	0.200087011
ATP5F1	0.560431361
PIFO	0.14374274
CEPT1	0.661956608
FAM212B	0.170125708
PROK1	0.277824163
CHIA	0.146139458
DCLRE1B	0.694495678
FAM19A3	0.215463996
BCL2L15	0.123297259
HIPK1	0.738502383
MAGI3	0.652402878
ST7L	0.237181425
KCND3	0.72829324
LRIG2	0.237181425
CTTNBP2NL	0.735656083
OLFML3	0.28195098
CAPZA1	0.605686903
RSBN1	0.575333595
MOV10	0.735656083
PPM1J	0.57406497
PTPN22	0.273365706
SLC16A1	0.788574338
WNT2B	0.735293925
RHOC	0.502599657
AP4B1	0.367181987
PHTF1	0.28195098
SYCP1	0.390805632
NRAS	0.782960892
SYT6	0.505678952
TRIM33	0.738502383
NGF	0.828495383
BCAS2	0.675328255
CSDE1	0.672696948
ATP1A1	0.824708164
CD58	0.145488262
SIKE1	0.734443069
CASQ2	0.352169782
AMPD1	0.250911236
TSHB	0.397666126
IGSF3	0.575333595
SLC22A15	0.440749556
DENND2C	0.492040008
MAB21L3	0.250911236
NHLH2	0.54447186
TSPAN2	0.349588096
VANGL1	0.819463432
HAO2	0.263579309
WDR3	0.672000587
MAN1A2	0.687749088
VTCN1	0.170125708
PTGFRN	0.622107685
TBX15	0.69759655
TRIM45	0.250911236
SPAG17	0.33108294
ZNF697	0.311623305
HSD3B1	0.111908376
WARS2	0.579714477
HSD3B2	0.111908376
CD101	0.123297259
TTF2	0.382677943
FAM46C	0.567580938
GDAP2	0.391017199
HMGCS2	0.219123349
CD2	0.503677845
PHGDH	0.807462156
REG4	0.179693475
NBPF10	0.163881958
ADAM30	0.203408599
LIX1L	0.684573174
FAM72B	0.186891869
PEX11B	0.576041102
ANKRD34A	0.661956608
POLR3GL	0.428754389
HFE2	0.524885356
NOTCH2NL	0.111908376
FCGR1B	0.380376667
AL592284.1	0.180262446
RBM8A	0.562003255
NOTCH2	0.685400963
TXNIP	0.465020806
PPIAL4G	0.186891869
FAM72D	0.186891869
GPR89B	0.380376667
ANKRD35	0.169388831
NBPF12	0.380376667
BCL9	0.693781972
PDZK1	0.410299271
ACP6	0.169639766
GJA8	0.196595117
CHD1L	0.575230479
POLR3C	0.713784814
GPR89A	0.380376667
GJA5	0.440929741
CD160	0.123297259
PIAS3	0.839585781
PRKAB2	0.782960892
RNF115	0.327572614
ITGA10	0.422169268
NUDT17	0.145488262
FMO5	0.219123349
PPIAL4A	0.186891869
HIST2H2BE	0.628125131
HIST2H3PS2	0.186891869
NBPF15	0.186891869
FCGR1A	0.380376667
NBPF16	0.139342904
NBPF20	0.186891869
HIST2H2BF	0.414986432
HIST2H3D	0.271684825
CA14	0.167412758
TARS2	0.519549906
OTUD7B	0.492040008
HIST2H2AB	0.621434689
SV2A	0.638883173
VPS45	0.64767915
SF3B4	0.672721207
MRPS21	0.146139458
HIST2H2AC	0.785640359
C1orf54	0.145488262
APH1A	0.655866444
C1orf51	0.425770938
BOLA1	0.27754873
ANP32E	0.591455102
PRPF3	0.833167911
ECM1	0.17343317
PLEKHO1	0.824708164
MTMR11	0.198833391
RPRD2	0.643415272
ANXA9	0.144167379
BNIPL	0.436840415
GABPB2	0.279577017
MCL1	0.700975537
PRUNE	0.527706027
HORMAD1	0.352524012
C1orf56	0.204157516
GOLPH3L	0.367896616
ARNT	0.620778978
ADAMTSL4	0.170125708
MLLT11	0.325380534
CTSS	0.573266864
ENSA	0.310589671
SETDB1	0.833167911
CERS2	0.672696948
CTSK	0.28195098
FAM63A	0.195770636
SEMA6C	0.566564143
CDC42SE1	0.397666126
PIP5K1A	0.703963399
PI4KB	0.72829324
CGN	0.492266208
SNX27	0.652570069
TNFAIP8L2	0.325380534
SELENBP1	0.288107097
LYSMD1	0.199765652
POGZ	0.774626613
TMOD4	0.349588096
PSMB4	0.71101737
RFX5	0.376613647
TUFT1	0.327572614
VPS72	0.695751667
PSMD4	0.726423621
SCNM1	0.212212905
ZNF687	0.571837127
CELF3	0.710803688
TCHHL1	0.111908376
THEM4	0.412388772
S100A10	0.505683362
CRCT1	0.179693475
S100A11	0.505683362
OAZ3	0.172474027
TDRKH	0.384959877
TCHH	0.515708506
CRNN	0.123297259
LCE3E	0.111908376
RPTN	0.111908376
THEM5	0.144167379
MRPL9	0.311623305
FLG2	0.111908376
HRNR	0.301421285
RORC	0.700975537
LINGO4	0.247530133
LCE5A	0.146139458
LCE1B	0.146139458
LCE2D	0.111908376
LCE1C	0.179693475
LCE1A	0.146139458
LCE2C	0.111908376
IVL	0.146139458
LCE3B	0.139342904
LCE3A	0.111908376
LCE2A	0.123297259
LCE3D	0.111908376
LCE1F	0.146139458
LCE3C	0.139342904
LCE4A	0.146139458
KPRP	0.123297259
LCE1D	0.146139458
SMCP	0.123297259
LCE2B	0.111908376
LCE1E	0.146139458
SPRR2E	0.111908376
SPRR2A	0.204157516
LOR	0.237914741
SPRR2B	0.180262446
SPRR4	0.123297259
PGLYRP4	0.111908376
S100A9	0.417577893
SPRR1B	0.168193251
S100A7L2	0.111908376
SPRR1A	0.111908376
PGLYRP3	0.111908376
SPRR2D	0.111908376
S100A7A	0.111908376
S100A12	0.123297259
S100A8	0.146139458
SPRR2F	0.180262446
LELP1	0.152543604
SPRR3	0.111908376
SPRR2G	0.146139458
S100A4	0.777635872
SLC39A1	0.241881713
S100A3	0.170125708
S100A1	0.439018309
CHTOP	0.685697198
CRTC2	0.658267796
S100A5	0.170125708
S100A16	0.170125708
INTS3	0.735656083
S100A13	0.244530007
NPR1	0.711480618
S100A6	0.701928437
S100A14	0.170125708
ILF2	0.802043378
GATAD2B	0.794239461
SLC27A3	0.144167379
S100A2	0.460647643
S100A7	0.254481137
SNAPIN	0.563851655
DENND4B	0.61672318
RAB13	0.818057179
HAX1	0.39388299
